#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::Terms
#tags:reading-room-terms
#columns:Front	Back
stimulate	<b>say:</b> STIM-yuh-layt /ˈstɪmjəˌleɪt/<br><b>def:</b> To stimulate something means to spark it into action or make it more active — like waking someone up or sparking their interest. Coffee stimulates you in the morning; a good question stimulates discussion.<br>🔊 stimulate breaks into STIM + yuh + LATE — picture Tim, who's running late<br>📖 to stimulate is to jolt something into more activity, like shaking someone awake<br>🎭 A sharp question jolts late-arriving Tim straight into the debate.<br>Anchors: "STIM" → Tim, "LATE" → late (mirrors the given definition's "a good question stimulates discussion" example)<br><br><i>Nemo alternates (unreviewed):</i><br>1. Tim gulps espresso so the jolt keeps him from running late.<br>Anchors: "STIM" → Tim, "LATE" → late<br>2. The steam engine jolts to life just as the late whistle blows.<br>Anchors: "STIM" → steam, "LATE" → late (alternate anchor, no "Tim" name, for variety)
indispensable	<b>say:</b> in-dih-SPEN-suh-bul /ˌɪndɪˈspɛnsəbəl/<br><b>def:</b> Indispensable describes a person or thing so necessary that you couldn't do without them - not just useful, but essential enough that losing them would be a real problem. Think of the one coworker who fixes every crisis: the team calls her indispensable because nothing would run smoothly without her.<br>🔊 indispensable is literally 'in' + 'dispensable' - the whole tail of the word IS the familiar word 'dispensable'<br>📖 something dispensable is a thing you could toss out or do without; slap 'in-' (not) on the front and it flips into something you can NEVER get rid of - too essential to dispense with
essential	<b>say:</b> ih-SEN-shul /ɪˈsɛnʃəl/<br><b>def:</b> Something essential is absolutely necessary — not just nice to have, but a must-have without which the whole thing falls apart. It's the core, indispensable part.<br>🔊 "essential" ends exactly like "special" — both finish on -SHUL /ʃəl/.<br>📖 the essential thing is the essence of something — strip everything else away and it's what's left, the part you truly cannot lose.<br>🎭 Missing that last cent breaks the whole special vending deal.<br>Anchors: "sen" → cent, "shul" → special<br><br><i>Nemo alternates (unreviewed):</i><br>1. Grandma says skip the cinnamon scent, ruin the whole special cake.<br>Anchors: "sen" → scent, "shul" → special<br>2. A verb makes any sentence special; skip it and it collapses.<br>Anchors: "sen" → sentence, "shul" → special
journeyman	<b>say:</b> JER-nee-mun /ˈdʒɝnimən/<br><b>def:</b> A worker who has finished learning a trade and can do the job competently on their own, but hasn't reached the top "master" level yet. More broadly, it describes someone solid and reliable at their work without being a star.<br>🔊 "journeyman" starts with the word "journey" itself — JER-nee.<br>📖 a journeyman has finished the training journey and now does steady, dependable work — skilled, but not yet a master.<br>🎭 Journey over, the handyman fixes every leak steady, still shy of master.<br>Anchors: "JER-nee" → "journey", "mun" → "handyman" (the -man ending)<br><br><i>Nemo alternates (unreviewed):</i><br>1. After his long journey, the young man welds pipes tight nightly, no master title yet.<br>Anchors: "JER-nee" → "journey", "mun" → "man"<br>2. Her journey finished, the young woman rewires houses steady, solid but not yet master.<br>Anchors: "JER-nee" → "journey", "mun" → "woman" (the -man sound inside)
acquired	<b>say:</b> uh-KWYRD /əˈkwaɪərd/<br><b>def:</b> To acquire something means to get it, gain it, or come to have it — often through effort, time, or experience, rather than having it from the start. An "acquired taste" or an "acquired skill" is one you didn't start out with but picked up along the way.<br>🔊 "acquired" rhymes exactly with "hired" — say it "uh-KWYRD," like "uh" plus "hired."<br>📖 when you're hired, you've acquired something new — a job, a skill — not something you were born with.<br>🎭 The chef admired the taste she slowly gained for raw oysters.<br><br><i>Nemo alternates (unreviewed):</i><br>1. After years of practice, my tired fingers finally gained real piano skill. Anchors: "acquired" → tired<br>2. Once wired into the line, the rookie quickly gained real speed. Anchors: "acquired" → wired
portrait	<b>say:</b> POR-trit /ˈpɔːrtrɪt/<br><b>def:</b> A painting, drawing, or photograph of a person, usually showing their face and upper body, meant to capture their likeness. Also used more broadly for a vivid, detailed description of someone or something.<br>🔊 "portrait" opens with the exact sound of "pour" (/pɔːr/); the ending "-trait" is said /trɪt/, not like the word "tray."<br>📖 picture an artist studying someone's face and pouring their likeness onto canvas — that captured image is a portrait.<br>🎭 She pours glowing tritium ink to sketch his exact likeness.<br><br><i>Nemo alternates (unreviewed):</i><br>1. A biographer studies every pore, writing her exact likeness in vivid words. Anchors: "por" → pore, "trit" → writ(ing) [near match — missing the leading "tr" cluster, flagged not exact]<br>2. Pinned to the door, a writ shows her sketched likeness. Anchors: "por" → door, "trit" → writ [same near-match caveat as above]
mechanic	<b>say:</b> muh-KAN-ik /məˈkænɪk/<br><b>def:</b> A mechanic is a person whose job is fixing machines, especially cars and engines. If your car starts making a strange noise, you take it to a mechanic to find and repair the problem.<br>🔊 "mechanic" hides the word "can" right in its stressed middle syllable — muh-CAN-ik.<br>📖 A mechanic can fix your car — the whole job packed into one syllable.<br>🎭 The mechanic says, "I can fix this engine," grabbing her wrench.<br><br><i>Nemo alternates (unreviewed):</i><br>1. Behind stacked oil cans, the mechanic promises to fix my truck. Anchors: "KAN" → oil cans lining the garage shelf<br>2. Tossing an empty oil can aside, the mechanic starts to fix my car. Anchors: "KAN" → an empty oil can tossed mid-repair
eligible	<b>say:</b> EL-ih-juh-bul /ˈɛlɪdʒəbəl/<br><b>def:</b> Eligible means you meet the requirements to be allowed to do something or receive something — like being old enough to vote, or qualifying for a scholarship. If you are eligible, the door is open to you; if not, you do not qualify yet.<br>🔊 eligible starts exactly like elbow (/ɛl/) — the rest, -ih-juh-bul (/ɪdʒəbəl/), has no perfect familiar-word match (it is a reduced, unstressed ending), so just say it as written after the elbow start.<br>📖 you elbow your way past the velvet rope at the door — because you are eligible, the bouncer waves you through<br>🎭 The judge spots my elbow patches and marks me eligible for the scholarship. Anchors: "el" → elbow (word onset /ɛl/); rest of "-igible" spoken as written, per the sound axis<br><br><i>Nemo alternates (unreviewed):</i><br>1. Turning eighteen, I finally elbow my ballot into the eligible voters' box. Anchors: "el" → elbow (word onset /ɛl/); rest of "-igible" spoken as written, per the sound axis<br>2. The nurse checks my elbow scar and declares me eligible for the drug trial. Anchors: "el" → elbow (word onset /ɛl/); rest of "-igible" spoken as written, per the sound axis
obtained	<b>say:</b> ub-TAYND /əbˈteɪnd/<br><b>def:</b> Obtained means got something, usually through effort — asking, earning, applying, or tracking it down. It is not just having something; it points to the getting itself.<br>🔊 "obtained" ends exactly like "contained" — same "-tained" /teɪnd/ sound.<br>📖 once you have obtained something, you finally have it in hand — mission accomplished, item acquired.<br>🎭 Obeying and maintaining his daily sign-in streak, he finally obtained the bonus.
component	<b>say:</b> kum-POH-nunt /kəmˈpoʊnənt/<br><b>def:</b> A component is one part of a bigger whole — a piece that fits together with other pieces to make something complete work.<br>🔊 "component" rhymes with "opponent" — just swap the front "op-" for "com-"<br>📖 a component is one piece that fits alongside its teammates to make a whole system work — like one player's role on a team facing an opponent<br>🎭 Every component clicks into place before the robot faces its opponent.<br><br><i>Nemo alternates (unreviewed):</i><br>1. Coach slots the last component into the lineup before the opponent arrives. Anchors: "component" → whole-word rhyme with "opponent"<br>2. Mechanics bolt each component into the car before it meets its opponent. Anchors: "component" → whole-word rhyme with "opponent"
theoretical	<b>say:</b> THEE-uh-RET-ih-kul /ˌθiəˈrɛtɪkəl/<br><b>def:</b> Existing only as an idea or possibility, not proven or put into real practice yet — the opposite of "practical." A theoretical risk could happen in principle, but hasn't actually been seen.<br>🔊 "theoretical" starts with the word "theory" and ends sounding exactly like "reticle" (RET-ih-kul, the crosshair in a scope).<br>📖 something theoretical exists only in theory — like aiming through a reticle (crosshair) that's never actually been fired.<br>🎭 The sniper's theory-only reticle has never actually fired.<br><br><i>Nemo alternates (unreviewed):</i><br>1. Professor Lee's theory sits framed beside a reticle that's never aimed.<br>2. In beta forever, the theory-crafted reticle has never actually fired.
apprenticeship	<b>say:</b> uh-PREN-tis-ship /əˈprɛntɪsʃɪp/<br><b>def:</b> An apprenticeship is a period of time when someone works for and learns from a skilled, experienced person in a trade or craft, usually earning less money while they're still learning the ropes. Think of a young carpenter working alongside a master carpenter for a few years before being trusted to work alone.<br>🔊 apprenticeship = uh-PREN-tis-SHIP — the middle rhymes with "rent", and it literally ends in "ship".<br>📖 an apprenticeship is your training "membership" on the crew — like being new aboard a ship, learning the ropes from the experienced sailors before you're trusted to sail solo.<br>🎭 Ahoy — cheap rent, endless practice: I learn woodcraft aboard ship.
automobile	<b>say:</b> AW-tuh-muh-BEEL /ˌɔtəmoʊˈbil/<br><b>def:</b> An automobile is a car — a vehicle with its own engine that carries people from place to place. It's a more formal or old-fashioned way of saying "car," the kind of word you'd see on an insurance form or in a car company's name.<br>🔊 "automobile" splits into two real words you already know: "auto" + "mobile" (the second part rhymes with "wheel")<br>📖 auto = self, mobile = moving — an automobile is literally a machine that moves itself, no horse required<br>🎭 In the showroom, the salesman brags this auto can wheel itself home alone.<br>   Anchors: "auto" → auto, "beel" (mobile) → wheel<br><br><i>Nemo alternates (unreviewed):</i><br>1. Grandpa's insurance form still lists his old auto as a self-wheeling carriage. Anchors: "auto" → auto, "beel" (mobile) → wheeling<br>2. The circus poster boasts an auto that wheels itself in circles, no horse. Anchors: "auto" → auto, "beel" (mobile) → wheels
garage	<b>say:</b> guh-RAHZH /ɡəˈrɑːʒ/<br><b>def:</b> A garage is a building, or part of one, where you park a car or where a mechanic fixes cars.<br>🔊 "garage" rhymes with "mirage" — both end in that same soft "-RAHZH" sound.<br>📖 picture your car pulling into its own little shelter for the night — that's the garage.<br>🎭 Squinting like it's a mirage, I finally park in the garage.<br>   Anchors: "-RAHZH" → mirage<br><br><i>Nemo alternates (unreviewed):</i><br>1. Under camouflage netting, the general parks his tank in the garage.<br>   Anchors: "-RAHZH" → camouflage<br>2. Still wearing her prom corsage, she parks the car in the garage.<br>   Anchors: "-RAHZH" → corsage
liability	<b>say:</b> ly-uh-BIL-uh-tee /ˌlaɪəˈbɪləti/<br><b>def:</b> A liability is something you are legally or financially responsible for — a debt you owe, or a weakness/problem that could cause trouble or loss.<br>🔊 "liability" splits perfectly into "lie" + "ability" — say them together: lie-ability<br>📖 a liability is a debt, risk, or responsibility you are on the hook for — something that can drag you down<br>🎭 Signing the loan, he lied about his ability to repay debt.<br>Anchors: "lie" → lied, "uh-BIL-uh-tee" → ability<br><br><i>Nemo alternates (unreviewed):</i><br>1. The startup's slick lie overstated its ability to cover its debt.<br>Anchors: "lie" → lie, "uh-BIL-uh-tee" → ability<br>2. At poker, his lie disguised his zero ability to pay debt.<br>Anchors: "lie" → lie, "uh-BIL-uh-tee" → ability
trades	<b>say:</b> TRAYDZ /tɹeɪdz/<br><b>def:</b> A trade is a swap — giving one thing and getting another in return, like trading stocks or trading cards. "Trades" also means skilled hands-on jobs, like plumbing or carpentry ("he works in the trades").<br>🔊 "trades" rhymes almost perfectly with "grades" — same ending sound, just swap the first letter.<br>📖 a trade is a swap: you hand something over and get something back for it.<br>🎭 Collectors swap rare coins, chasing top mint-condition grades.<br><br><i>Nemo alternates (unreviewed):</i><br>1. Twins swap report cards, hiding both their bad grades.<br>2. He swaps his lunch money for a peek at her grades.<br>3. Students swap seats, each hoping for the other's grades.
certify	<b>say:</b> SUR-tuh-FYE /ˈsɝtəˌfaɪ/<br><b>def:</b> to officially declare that something meets a required standard, or give someone an official document proving a fact — like getting a certificate that says it's true.<br>🔊 certify starts with 'sir' (SUR, exact match /sɝ/) and ends like the Greek letter 'phi' (FYE, exact match /faɪ/) — SUR-tuh-FYE.<br>📖 picture a SIR (an official authority) putting his signature on your paper — that official stamp is what makes something certified.<br>🎭 The Sir tastes the pie and certifies it blue-ribbon worthy.<br>Anchors: "sur" → Sir, "fye" → pie<br><br><i>Nemo alternates (unreviewed):</i><br>1. The surfer fries in the sun until lifeguards certify the beach safe.<br>Anchors: "sur" → surfer, "fye" → fries<br>2. The purring cat startles a fly as the vet certifies it healthy.<br>Anchors: "sur" → purring, "fye" → fly
invigilator	<b>say:</b> in-VIJ-uh-lay-tor /ɪnˈvɪdʒɪˌleɪtər/<br><b>def:</b> A person whose job is to watch over students while they take an exam, making sure no one cheats and the rules are followed. (British English term; American English usually says "proctor.")<br>🔊 invigilator hides the word "vigil" right in its middle: in-VIGIL-ator.<br>📖 an invigilator keeps a vigil — a watchful, unblinking watch — over the room during the exam.<br>🎭 In row three she keeps vigil, pocketing the cheat note for later.<br>Anchors: "in" → In, "vigil" → vigil, "-ator" (≈ "later") → later<br><br><i>Nemo alternates (unreviewed):</i><br>1. In the exam hall she keeps vigil, watching rows like a stone-faced spectator.<br>Anchors: "in" → In, "vigil" → vigil, "-ator" → spectator<br>2. In the back row she keeps vigil, silent as a waiting alligator.<br>Anchors: "in" → In, "vigil" → vigil, "-ator" → alligator
remediation	<b>say:</b> rih-MEE-dee-AY-shun /rɪˌmiːdiˈeɪʃən/<br><b>def:</b> the act of fixing or correcting a problem — cleaning up damage, undoing harm, or restoring something to a normal, acceptable state (e.g. environmental cleanup, fixing a flawed system, or an academic catch-up program).<br>🔊 the ending of re-medi-ATION rhymes exactly with 'nation' — same /eɪʃən/ sound and stress.<br>📖 picture a cleanup crew called in to apply a remedy to a mess — that fixing/restoring action is remediation.<br>🎭 The crew's remedy helps the ruined nation finally fix its poisoned wells.<br>   Anchors: "re-medi" → remedy, "-ation" → nation<br><br><i>Nemo alternates (unreviewed):</i><br>1. Doctors give me a remedy before vacation, promising my sprained ankle gets fixed.<br>   Anchors: "re-medi" → remedy, "-ation" → vacation<br>2. The stadium medic's fix saves the nation's championship hopes at halftime.<br>   Anchors: "medi" → medic ("re-" left unanchored — a bare prefix, no clean sound-alike worth forcing), "-ation" → nation
regional	<b>say:</b> REE-juh-nul /ˈriːdʒənəl/<br><b>def:</b> Belonging to or affecting one particular area, not the whole country or the whole world — just that one part of it.<br>🔊 "regional" is just "region" (REE-juhn) with "-al" stuck on the end<br>📖 something regional stays inside one region/area — it doesn't spread everywhere<br>🎭 A legion guarded only its assigned zone.
pursuing	<b>say:</b> per-SOO-ing /pɝˈsuɪŋ/<br><b>def:</b> Pursuing means chasing after something or someone, or working hard and steadily to get or achieve something you want — a goal, a dream, a person, an answer.<br>🔊 "pursuing" is exactly "purse" + "suing" said together — per-SOO-ing<br>📖 picture someone chasing after (pursuing) their stolen purse while suing the thief — both halves of the word are literally happening in the scene<br>🎭 Chasing the purse thief through the mall, she starts suing him.<br><br><i>Nemo alternates (unreviewed):</i><br>(none)
substance	<b>say:</b> SUB-stunss /ˈsʌbstəns/<br><b>def:</b> Substance means physical material or matter — the actual "stuff" something is made of, whether a liquid, powder, gas, or solid. Chemists talk about different substances, and doctors talk about substances like medicines or drugs. It can also mean the real, important content behind words, not just talk.<br>🔊 "substance" starts exactly like "sub" (as in a submarine, /sʌb/) — the rest fades into an unstressed "-stunss" (schwa ending) with no perfect familiar-word anchor for that part.<br>📖 picture the inside of a "sub"(marine) packed floor to ceiling with strange, gooey stuff — that gooey stuff is the "substance," the actual physical material something is made of.<br>🎭 A submarine in fighting stance leaked black substance across the deck.
parch	<b>say:</b> PAHRCH /pɑːrtʃ/<br><b>def:</b> To become (or make something become) completely dried out from heat — the ground, your throat, a field of crops. It's the dryness you feel after too much sun and not enough water.<br>🔊 "parch" rhymes exactly with "march" — just swap the m for a p.<br>📖 picture soldiers marching for miles under a blazing desert sun — their throats parch dry and the cracked ground parches beneath their boots.<br>🎭 Peacocks march across a parched creek bed.
stance	<b>say:</b> STANS /stæns/<br><b>def:</b> Stance means the way you stand — how you plant your feet and hold your body. It also means the position or opinion you take on an issue, especially one you hold firmly. A boxer has a fighting stance, and a politician takes a stance on a tough issue.<br>🔊 "stance" rhymes exactly with "dance" — st + ANCE<br>📖 your stance is the firm, planted position you stand in — like a dancer's ready pose — whether that's how your feet are set or the opinion you're standing behind<br>🎭 Last chance arrives, feet wide, she ignores coach's shouts.
studio	<b>say:</b> STOO-dee-oh /ˈstudiˌoʊ/<br><b>def:</b> A studio is a room or building set up for making something creative — art, music, photography, film, or dance — and it can also mean a small one-room apartment.<br>🔊 studio starts exactly like stew (STOO-) and ends exactly like the '-dio' in video<br>📖 picture a chef stirring a pot of stew while a video crew films right there in the room — that busy creative room is the studio<br>🎭 Photographers eat stew between cuts of a video in their studio.
stew	<b>say:</b> STOO /stu/<br><b>def:</b> A stew is a dish made by slowly cooking meat and vegetables together in liquid, in one pot, until everything is soft and the flavors blend. As a verb, "to stew" also means to worry anxiously over something for a long time, letting the worry simmer in your mind.<br>🔊 "stew" sounds exactly like the name "Stu" — /stu/.<br>📖 picture Stu standing over a bubbling pot, slowly stewing his stew — meat and vegetables simmering together until soft.<br>🎭 Stu simmers beef and potatoes together in one pot.
streak	<b>say:</b> STREEK /striːk/<br><b>def:</b> A streak is a run of the same thing happening again and again without a break — usually a series of wins, losses, or lucky/unlucky events in a row.<br>🔊 "streak" rhymes exactly with "creek" — /striːk/ vs /kriːk/.<br>📖 a streak is an unbroken run of the same outcome, one after another — like a creek that just keeps flowing without stopping.<br>🎭 He skipped ten stones straight across the creek.
vain	<b>say:</b> VAYN /veɪn/<br><b>def:</b> Vain describes someone who cares too much about their looks or achievements and loves being admired. It can also describe an effort that fails despite trying hard, as in "a vain attempt."<br>🔊 "vain" sounds exactly like "vein" — they're perfect homophones.<br>📖 a vain person keeps admiring themselves in the mirror, too proud of their looks to think about anyone else.<br>🎭 He flexes his veins, vain about his muscles.<br>Anchors: "vain" → "vein" (homophone: veins in the mirror)<br><br><i>Nemo alternates (unreviewed):</i><br>1. Weather vane preens on the roof, gleaming and vain.<br>Anchors: "vain" → "vane" (homophone: weather vane)<br>2. Straining every vein, his vain rescue attempt fails.<br>Anchors: "vain" → "vein" (homophone: straining veins, ties to the "failed effort" sense of vain)
inert	<b>say:</b> ih-NURT /ɪˈnɜːrt/<br><b>def:</b> Not moving, not active, or not reacting with anything else — just sitting there, having no effect. It describes things that lack the energy or tendency to do anything, whether physically (a heavy, motionless object) or chemically (a gas that won't react with other substances).<br>🔊 "inert" rhymes exactly with "hurt" — in-URT<br>📖 something inert just sits there and does nothing — like a rock that never reacts no matter what happens around it<br>🎭 In a lead shirt, the sample refuses to react.
shuttered	<b>say:</b> SHUT-erd /ˈʃʌtərd/<br><b>def:</b> Describes a business, shop, or building that has been closed down and shut up — often for good — as if someone pulled the metal shutters down and locked the door.<br>🔊 "shuttered" is just "shutter" with "-ed" tacked on — the familiar word shutter is hiding right inside it.<br>📖 picture a shop with its metal shutters rolled down and padlocked — that closed-up, dead-quiet look is exactly what "shuttered" means.<br>🎭 The camera's shutter clicked once; the studio closed forever.<br><br><i>Nemo alternates (unreviewed):</i><br>1. The bakery's shutters slammed down, closed for good. Anchors: "shutter" → shutters (literal)<br>2. Dust settles on the arcade, shuttered and closed forever. Anchors: "shutter" → shuttered (literal)
latch	<b>say:</b> LACH /lætʃ/<br><b>def:</b> A latch is a small mechanical piece, often on a door or gate, that holds it shut until someone lifts, turns, or pushes it open. Picture a little metal bar or hook that flips into place and keeps the door from swinging open.<br>🔊 "latch" rhymes exactly with "catch"<br>📖 a latch catches the door and holds it shut<br>🎭 The lad slides the latch, sealing the barn.
wrung	<b>say:</b> RUHNG /rʌŋ/<br><b>def:</b> Wrung is the past tense of "wring" — to twist and squeeze something tightly, especially to force liquid out of it (like wringing water from a wet towel), or to twist someone's hands together from worry.<br>🔊 "wrung" is pronounced exactly like "rung" — a step on a ladder.<br>📖 to be wrung is to be twisted and squeezed tight, like a wet towel wrung dry.<br>🎭 Soaked from rain, I wrung my shirt on the rung.<br>Anchors: "wrung" → wring (whole word), "rung" → ladder rung<br><br><i>Nemo alternates (unreviewed):</i><br>1. Painting outside, she wrung her rag on the rung.<br>Anchors: "wrung" → wring (whole word), "rung" → ladder rung<br>2. Gripping the ladder's rung, he wrung his worried hands.<br>Anchors: "rung" → ladder rung, "wrung" → wring (whole word)
cryptic	<b>say:</b> KRIP-tik /ˈkrɪptɪk/<br><b>def:</b> describes something mysterious and hard to understand — a message, remark, or clue whose real meaning is hidden or unclear.<br>🔊 "cryptic" starts with the exact sound of "crypt" — /krɪpt/.<br>📖 a crypt hides things away underground, out of sight; something cryptic hides its meaning the same way, so you have to dig to understand it.<br>🎭 An old crypt door ticks, hiding a coded warning.<br>Anchors: "cryp-" → crypt, "-tic" → ticks<br><br><i>Nemo alternates (unreviewed):</i><br>1. The crypt guard's tic hints at a hidden map.<br>Anchors: "cryp-" → crypt, "-tic" → tic (nervous twitch)<br>2. Archivists inside the crypt tick off hidden codes.<br>Anchors: "cryp-" → crypt, "-tic" → tick
ominous	<b>say:</b> AH-muh-nuss /ˈɑmənəs/<br><b>def:</b> Ominous means something feels like a warning sign that trouble is coming. It's that heavy, uneasy feeling you get from dark clouds before a storm, or a strange silence right before bad news.<br>🔊 "ominous" starts just like "bomb" (BOM-), then trails off into "-uh-nuss"<br>📖 something ominous feels like a bomb ticking nearby — a sign that something bad is about to happen<br>🎭 Ommen watches Venus over almond trees, warning of a storm.
steer	<b>say:</b> STEER /stɪr/<br><b>def:</b> To steer means to guide the direction something moves in — turning a car's wheel, a boat's rudder, or even a conversation toward a certain topic. It's about actively controlling which way something goes.<br>🔊 "steer" rhymes exactly with "gear" — /stɪr/ and /ɡɪr/ share the same ending sound.<br>📖 you shift a gear, then steer the wheel — both are how you control where the car goes.<br>🎭 Truck stuck in gear, he steers off the road.
breadth	<b>say:</b> BREDTH /brɛdθ/<br><b>def:</b> How wide something is, or how broad a range something covers — a physical width, or a figurative range (e.g. breadth of knowledge means knowing about many different topics).<br>🔊 "breadth" is just "bread" with a "th" stuck on the end<br>📖 picture a loaf of bread sliced so wide it stretches clear across the table — that's its breadth<br>🎭 The baker's bread loaf stretched wide across the table.<br>Anchors: "bred" → bread (loaf)<br><br><i>Nemo alternates (unreviewed):</i><br>1. Six loaves fit in the breadbox — it's that wide.<br>Anchors: "bred" → bread (breadbox)<br>2. This chef's bread rack is wide, holding every cuisine.<br>Anchors: "bred" → bread (bread rack)
competence	<b>say:</b> KOM-puh-tunss /ˈkɑmpətɪns/<br><b>def:</b> Competence means having enough skill and ability to do something well — enough to be trusted with the job, not necessarily being the best at it.<br>🔊 "competence" opens with COMP (like company) and closes with a sound like MINCE (chop finely) — COMP-puh-mince<br>📖 a competent chef can mince vegetables perfectly, every time — skilled enough to get it right<br>🎭 Compass-led police walk since sunrise, trusted with the border.
excelling	<b>say:</b> ik-SEL-ing /ɪkˈsɛlɪŋ/<br><b>def:</b> Excelling means doing something extremely well — performing far better than most people around you. Not just good, but standout good, like being the best in the room.<br>🔊 "excelling" ends exactly like "selling" — ex-SELLING<br>📖 someone excelling is like the top seller in the room — everyone else is falling behind their pace<br>🎭 2. Out-selling every rival, she's clearly the best on the floor.<br>   Anchors: "selling" (ex-SELLING) → "Out-selling", meaning → "the best"<br><br><i>Nemo alternates (unreviewed):</i><br>1. 1. Selling more than anyone, Maya is the best in class.<br>   Anchors: "selling" (ex-SELLING) → "Selling", meaning → "the best"<br>2. 3. At the dealership, Sam keeps out-selling everyone, easily the best.<br>   Anchors: "selling" (ex-SELLING) → "out-selling", meaning → "the best"
legible	<b>say:</b> LEJ-uh-bul /ˈlɛdʒəbəl/<br><b>def:</b> Writing clear enough to read easily — letters that are neat and well-formed, not smudged or scribbled, so you can read every word at a glance.<br>🔊 "legible" starts with "ledge" and ends with the same "-ible" as "edible"<br>📖 legible writing is clear enough that anyone can read it at a glance — like letters carved neatly into a stone ledge, so clean they're edible to the eye<br>🎭 The ledger's neat entries let Abel read fast.<br>Anchors: "ledge" (LEJ) → ledger, "-ible" (uh-bul) → Abel<br><br><i>Nemo alternates (unreviewed):</i><br>1. Carved into the ledge, each word reads edible-clean.<br>Anchors: "ledge" (LEJ) → ledge, "-ible" (uh-bul) → edible<br>2. On the ledge, Mabel's grocery list reads clearly.<br>Anchors: "ledge" (LEJ) → ledge, "-ible" (uh-bul) → Mabel
combustion	<b>say:</b> kum-BUS-chun /kəmˈbʌstʃən/<br><b>def:</b> the process of something burning — a fast chemical reaction where a fuel (wood, gas, gasoline) combines with oxygen and releases heat and light as fire, like inside a car engine or a lit match<br>🔊 combustion breaks apart into three familiar pieces — come + bust + -shun — said fast: com-BUST-shun<br>📖 picture something bursting into flame — that violent burst of fire IS combustion<br>🎭 Come start the engine as fuel busts into burning chunks.<br>   Anchors: "kum" → Come, "bust" → busts, "chun" → chunks<br><br><i>Nemo alternates (unreviewed):</i><br>1. Come watch the log bust into a burning chunk.<br>   Anchors: "kum" → Come, "bust" → bust, "chun" → chunk<br>2. Come watch fireworks bust and burn while kids shun sparks.<br>   Anchors: "kum" → Come, "bust" → bust, "shun" → shun
decent	<b>say:</b> DEE-sunt /ˈdisənt/<br><b>def:</b> Decent means good enough or acceptable — not amazing or fancy, just proper and satisfactory. It's also used for people or behavior that's honest, fair, and morally proper.<br>🔊 "decent" rhymes with "recent" — same sound all the way through, just swap the first letter (r → d).<br>📖 something decent is acceptable and proper — good enough to pass, respectable, but not amazing.<br>🎭 Grandma inspects my recent report card, acceptable.<br><br><i>Nemo alternates (unreviewed):</i><br>1. The judge calls my recent excuse barely acceptable.<br>2. Buyer says the recent paint job looks acceptable.
granular	<b>say:</b> GRAN-yə-lər /ˈɡrænjələr/<br><b>def:</b> Granular describes something made up of small grains or particles, like sand or sugar. It can also describe information broken into small, detailed pieces instead of one big lump — 'granular detail' means fine-grained detail.<br>🔊 "granular" is just "granule" with an -er tacked on the end<br>📖 something granular is made of tiny granules (grains) packed together, like sugar or sand<br>🎭 Sand granules coat every toe on the beach.<br>Anchors: "granule" → granules (sand, on the beach)<br><br><i>Nemo alternates (unreviewed):</i><br>1. Sugar granules crunch loudly between my teeth.<br>Anchors: "granule" → granules (sugar, being crunched)<br>2. Coffee granules cling stubbornly to the wet spoon.<br>Anchors: "granule" → granules (coffee, on a spoon)
fleet	<b>say:</b> FLEET /flit/<br><b>def:</b> A fleet is a group of ships, vehicles, or aircraft that all belong to the same owner or organization and move/work together — like a company's fleet of delivery trucks or a navy's fleet of warships.<br>🔊 "fleet" rhymes exactly with "feet" — just add an L to the front: FLEET.<br>📖 picture a whole fleet of ships all moving together in formation, as if they share one giant pair of feet.<br>🎭 The tycoon's ships all march on giant feet.<br>Anchors: "fleet" → feet<br><br><i>Nemo alternates (unreviewed):</i><br>1. The captain's ships glide together on borrowed feet.<br>Anchors: "fleet" → feet<br>2. The admiral lines his ships up like matching feet.<br>Anchors: "fleet" → feet
curriculum	<b>say:</b> kuh-RIK-yuh-lum /kəˈrɪkjələm/<br><b>def:</b> A curriculum is the full set of courses and subjects a school or program teaches — the overall plan for what students will learn, not just one class.<br>🔊 "curriculum" stresses "RIK" and sounds just like brick: kuh-RIK-yuh-lum<br>📖 a curriculum is built like a wall, with each course stacked in as one brick of the whole learning plan<br>🎭 Bricklayer cements each course into the curriculum wall.<br>Anchors: "RIK" → brick (course-bricks cemented in place, one per subject)<br><br><i>Nemo alternates (unreviewed):</i><br>1. She climbs course-bricks stacked as curriculum stairs.<br>Anchors: "RIK" → brick (bricks stacked into steps, one per subject, climbed toward graduation)<br>2. Principal swaps old bricks to update the curriculum.<br>Anchors: "RIK" → brick (outdated course-bricks pulled and replaced in the same wall)
inducing	<b>say:</b> in-DOO-sing /ɪnˈdusɪŋ/<br><b>def:</b> causing something to happen or start; bringing something about (also: persuading someone to do something) — the present participle of "induce"<br>🔊 The umpire shouts "deuce," and the crowd starts to sing along — in-DEUCE-SING sounds like inducing.<br>📖 Doctors sometimes need to start labor early — inducing (causing) the birth to begin.<br>🎭 In the dew, sunrise causes birds to sing.<br>Anchors: "in" → In, "doo" → dew, "sing" → sing<br><br><i>Nemo alternates (unreviewed):</i><br>1. At the inn, a shoeshine tune causes singing.<br>Anchors: "in" → inn, "doo" → shoe, "sing" → singing<br>2. Win the raffle; doing so causes Sue to sing.<br>Anchors: "in" → win, "doo" → doing, "sing" → sing
